dep_amt ,dep_days_greater100e,wth_amt ,wth_days_greatter100e,stake_amt,stake_days_greater500e,paid_bonus,no_bets,abs_ggr_days_greater200e,no_logins,vip
54,0,0,0,258,0,0,175,0,181,not VIP
197,0,0,0,11085,4,0,1784,2,52,not VIP
120,0,0,0,307,0,0,408,0,233,not VIP
15,0,0,0,26,0,0,106,0,1,not VIP
205,1,0,0,4301,4,188,280,2,52,not VIP
476,1,0,0,2991,3,7,133,0,48,not VIP
337,1,0,0,4414,2,0,132,0,22,VIP
77,0,736,2,370,0,467,13,0,19,not VIP
92,0,37,0,213,0,0,54,0,17,not VIP
755,3,726,2,10004,6,0,1014,2,98,not VIP
763,4,4,1,8725,6,0,641,1,116,VIP
78,0,308,1,852,1,0,59,1,11,not VIP
751,4,0,0,25337,2,0,235,1,18,VIP
154,0,116,1,166,0,0,10,0,17,not VIP
370,1,0,0,2655,3,0,192,0,13,not VIP
15,0,0,0,78,0,0,367,0,16,not VIP
840,2,0,0,3887,3,0,87,2,16,not VIP
308,1,0,0,308,0,0,2,1,5,not VIP
237,0,0,0,1214,0,0,3634,0,19,not VIP
169,0,0,0,333,0,0,55,0,53,not VIP
26,0,0,0,47,0,0,257,0,3,not VIP
35,0,0,0,178,0,0,154,0,2,not VIP
154,1,0,0,794,0,0,7,2,8,not VIP
30,0,0,0,1052,1,99,62,1,37,not VIP
11,0,0,0,13,0,0,6,0,8,not VIP
61,0,0,0,353,0,0,932,0,41,not VIP
229,0,61,0,1350,1,0,269,0,21,not VIP
308,1,0,0,729,1,0,7,1,7,not VIP
107,0,0,0,796,0,0,1082,0,4,not VIP
175,0,198,1,467,0,245,21,0,41,not VIP
38,0,0,0,178,0,0,2263,0,17,not VIP
93,0,144,1,2471,1,395,5322,1,21,not VIP
55,0,0,0,117,0,0,49,0,109,not VIP
